Construction Name,Outside Layer,Layer 2,Layer 3,Layer 4,Layer 5,Material Type,EEC,ECC,Assumption
Window_U_0.40_SHGC_0.4,Glass_8652_LayerAvg,Gap_1_W_0_0127,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.40_SHGC_0.38,Glass_8652_LayerAvg,Gap_1_W_0_0127,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.39_SHGC_0.40,Glass_282_LayerAvg,Gap_1_W_0_0127,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.45_SHGC_0.38,Glass_2532_LayerAvg,Gap_1_W_0_0127,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.44_SHGC_0.40,Glass_9731_LayerAvg,Gap_9_W_0_0127,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.38_SHGC_0.36,Glass_2531_LayerAvg,Gap_9_W_0_0127,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.38_SHGC_0.41,Glass_4313_LayerAvg,Gap_1_W_0_0127,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.51_SHGC_0.25,Glass_1576_LayerAvg,Gap_1_W_0_0090,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.54_SHGC_0.25,Glass_1576_LayerAvg,Gap_1_W_0_0070,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.56_SHGC_0.25,Glass_1576_LayerAvg,Gap_1_W_0_0060,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.59_SHGC_0.25,Glass_1576_LayerAvg,Gap_1_W_0_0048,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
Window_U_0.58_SHGC_0.25,Glass_1576_LayerAvg,Gap_1_W_0_0052,Glass_102_LayerAvg,,,Fenestration,3798.6,193.8,Double Pane
